Entity,Code,Year,Other cancers (deaths),Gallbladder cancer (deaths),Larynx cancer (deaths),Other pharynx cancer (deaths),Kidney cancer (deaths),Ovarian cancer (deaths),Lip and oral cavity cancer (deaths),Bladder cancer (deaths),Brain and nervous system cancer (deaths),Non-Hodgkin lymphoma (deaths),Cervical cancer (deaths),Leukemia (deaths),Prostate cancer (deaths),Pancreatic cancer (deaths),Esophageal cancer (deaths),Breast cancer (deaths),Liver cancer (deaths),Colon and rectum cancer (deaths),Stomach cancer (deaths),"Tracheal, bronchus, and lung cancer (deaths)"
Russia,RUS,2011,31017,2865,4837,3251,8911,8451,5571,7233,6963,4410,6881,8050,10717,16235,7284,23137,9327,39092,35436,51646
Russia,RUS,2012,30819,2847,4652,3313,8903,8399,5540,7150,6986,4430,6718,7946,10876,16353,7197,22498,9417,38655,34009,50062
Russia,RUS,2013,31025,2893,4637,3406,9014,8391,5612,7157,7097,4487,6683,7956,11115,16580,7280,22332,9632,38853,33659,50020
Russia,RUS,2014,31480,2977,4688,3497,9163,8441,5707,7181,7213,4557,6711,8019,11365,16922,7428,22527,9914,39384,33817,50538
Russia,RUS,2015,32082,3089,4849,3588,9378,8583,5861,7366,7325,4639,6744,8142,11549,17211,7682,22930,10268,40218,34624,51416
Russia,RUS,2016,32974,3201,4959,3691,9617,8822,6005,7563,7469,4752,6916,8324,11836,17645,7916,23791,10640,41391,35534,52152
Singapore,SGP,1990,326,24,37,22,35,56,35,41,43,75,92,115,53,100,108,183,303,437,393,786
Singapore,SGP,1991,333,26,36,20,37,55,35,41,44,75,92,114,55,103,105,189,312,441,379,790
Singapore,SGP,1992,335,27,36,20,38,58,35,42,46,78,92,114,58,104,103,194,324,451,374,797
Singapore,SGP,1993,338,28,36,22,40,60,35,42,46,81,94,116,61,106,102,204,332,467,371,809
Singapore,SGP,1994,349,29,38,23,44,64,36,45,47,87,96,120,67,114,101,212,340,487,372,839
Singapore,SGP,1995,351,32,38,26,47,65,36,46,49,94,97,124,74,118,100,221,347,509,377,874
Singapore,SGP,1996,367,33,39,24,49,66,37,47,50,97,99,129,74,126,98,230,353,521,378,878
Singapore,SGP,1997,376,33,40,22,49,69,37,48,49,100,101,130,78,131,95,242,356,531,377,888
Singapore,SGP,1998,378,35,36,22,52,72,36,50,50,106,97,130,82,137,94,251,362,546,373,911
Singapore,SGP,1999,389,33,37,21,56,74,36,50,51,107,97,130,86,142,92,263,375,559,369,920
Singapore,SGP,2000,403,31,35,22,57,78,38,52,52,112,95,133,90,154,94,270,385,574,364,927
Singapore,SGP,2001,398,31,33,22,58,82,40,52,52,112,92,132,91,163,91,280,385,584,356,923
Singapore,SGP,2002,405,32,32,22,59,88,40,53,53,115,91,134,94,172,89,291,397,603,357,931
Singapore,SGP,2003,412,34,31,23,62,93,42,52,54,116,89,136,97,183,90,298,402,622,357,947
Singapore,SGP,2004,424,32,30,23,67,98,40,53,55,117,88,139,104,191,90,304,404,645,364,966
Singapore,SGP,2005,438,33,29,23,70,101,42,54,57,120,88,144,108,206,91,316,410,670,366,986
Singapore,SGP,2006,447,34,30,23,74,105,44,57,60,125,87,151,116,217,93,322,407,693,371,1010
Singapore,SGP,2007,446,33,28,23,76,104,44,56,60,122,83,150,116,223,93,322,404,688,364,981
Singapore,SGP,2008,451,32,27,24,80,107,45,56,62,125,82,152,120,229,97,333,410,701,361,986
Singapore,SGP,2009,460,33,28,25,85,110,46,57,64,128,82,153,126,247,103,352,436,735,376,1019
Singapore,SGP,2010,471,35,28,25,90,113,47,60,67,133,83,156,131,261,106,360,458,757,377,1034
Singapore,SGP,2011,485,38,29,25,96,117,49,63,68,140,84,158,141,276,107,370,479,781,389,1078
Singapore,SGP,2012,497,39,28,26,101,119,50,65,70,144,85,160,146,282,106,377,493,783,376,1108
Singapore,SGP,2013,513,42,27,27,105,122,51,67,71,148,85,161,153,290,108,393,509,800,375,1139
Singapore,SGP,2014,519,46,28,28,108,124,53,71,72,152,85,159,159,298,108,393,525,811,371,1161
Singapore,SGP,2015,520,49,28,29,111,125,53,74,73,155,84,159,165,308,110,394,536,825,371,1174
Singapore,SGP,2016,530,50,29,30,112,127,55,77,74,159,85,163,173,313,114,392,556,846,383,1200
South Africa,ZAF,1990,3240,387,419,122,225,440,590,456,388,479,2519,1049,1793,1019,2787,1744,1393,1557,1363,4351
South Africa,ZAF,1991,3344,393,434,128,233,454,617,472,402,498,2526,1079,1870,1056,2921,1787,1453,1611,1402,4454
South Africa,ZAF,1992,3492,414,455,134,244,478,647,494,421,521,2656,1124,1954,1106,3119,1900,1527,1696,1468,4590
South Africa,ZAF,1993,3529,408,455,136,249,486,659,501,429,533,2561,1130,2022,1131,3173,1878,1568,1702,1445,4616
South Africa,ZAF,1994,3668,426,475,142,261,508,687,524,449,555,2676,1175,2106,1181,3353,1978,1636,1784,1510,4771
South Africa,ZAF,1995,3747,430,495,147,269,516,712,542,459,571,2599,1193,2200,1214,3469,1960,1685,1835,1546,4931
South Africa,ZAF,1996,3926,467,531,156,283,540,751,576,480,593,2803,1247,2298,1278,3805,2104,1767,1963,1654,5131
South Africa,ZAF,1997,4202,527,591,170,305,579,808,626,513,628,3191,1339,2399,1368,4296,2389,1873,2184,1866,5456
South Africa,ZAF,1998,4335,555,605,174,311,596,825,640,531,642,3337,1378,2444,1408,4480,2494,1920,2244,1898,5551
South Africa,ZAF,1999,4540,593,628,179,324,621,848,660,551,663,3534,1427,2499,1452,4620,2640,1962,2336,1941,5769
South Africa,ZAF,2000,4839,655,660,187,342,647,884,685,578,688,3831,1495,2556,1503,4838,2853,2014,2457,2013,6056
South Africa,ZAF,2001,4952,670,641,189,346,658,882,680,587,694,3821,1498,2605,1515,4721,2876,2020,2467,1959,5747
South Africa,ZAF,2002,5124,700,640,192,353,675,894,691,602,711,3917,1527,2690,1545,4716,2965,2051,2529,1954,5638
South Africa,ZAF,2003,5309,738,641,196,362,692,912,704,619,734,4043,1557,2789,1581,4716,3085,2081,2617,1965,5609
South Africa,ZAF,2004,5453,770,639,198,373,715,925,716,635,751,4137,1579,2879,1615,4689,3204,2111,2699,1957,5593
South Africa,ZAF,2005,5585,805,636,203,386,741,933,723,654,764,4253,1604,2962,1657,4702,3330,2120,2786,1962,5563
South Africa,ZAF,2006,5733,835,644,211,401,771,953,745,675,781,4342,1642,3085,1715,4740,3443,2165,2907,1987,5702
South Africa,ZAF,2007,5774,828,638,213,409,794,952,759,688,791,4271,1658,3186,1759,4616,3472,2173,2974,1961,5780
South Africa,ZAF,2008,5812,817,637,215,419,813,955,770,702,803,4180,1677,3290,1797,4508,3471,2173,3035,1938,5866
South Africa,ZAF,2009,5902,817,645,223,434,839,968,790,724,819,4175,1713,3401,1851,4492,3539,2190,3134,1952,6027
South Africa,ZAF,2010,5993,817,654,228,448,864,984,810,746,838,4220,1748,3523,1908,4486,3651,2223,3229,1964,6181
South Africa,ZAF,2011,6034,809,660,232,460,879,987,823,766,851,4207,1774,3595,1946,4455,3689,2213,3281,1948,6293
South Africa,ZAF,2012,6016,785,652,231,467,880,981,831,778,858,4123,1777,3663,1966,4339,3651,2207,3274,1890,6374
South Africa,ZAF,2013,6046,769,641,230,473,891,977,837,788,870,4157,1790,3732,1983,4238,3690,2217,3267,1839,6458
South Africa,ZAF,2014,6137,766,643,231,481,906,980,852,806,886,4302,1824,3800,2016,4240,3796,2256,3296,1821,6623
South Africa,ZAF,2015,6197,765,643,233,489,917,991,864,817,901,4364,1841,3826,2052,4224,3871,2287,3312,1816,6804
South Africa,ZAF,2016,6227,765,647,234,494,922,1000,874,822,910,4396,1850,3825,2075,4216,3917,2299,3327,1815,7002
South Korea,KOR,1990,3035,969,568,119,283,388,289,566,889,710,1096,1771,465,1992,1567,1350,8126,2883,14776,6612
South Korea,KOR,1991,3118,956,596,126,307,405,301,597,907,756,1099,1764,486,2137,1649,1372,8710,3127,14913,7143
South Korea,KOR,1992,3162,938,620,132,336,425,314,625,935,806,1108,1758,508,2284,1716,1405,9274,3373,15059,7739
South Korea,KOR,1993,3189,916,644,139,371,448,330,654,956,861,1128,1748,534,2413,1757,1449,9849,3618,15150,8414
South Korea,KOR,1994,3227,881,667,149,413,475,352,691,963,927,1167,1741,562,2526,1780,1490,10446,3843,15242,9232
South Korea,KOR,1995,3252,822,682,158,464,509,375,731,962,1001,1223,1726,594,2597,1764,1534,11031,4017,15176,10197
South Korea,KOR,1996,3308,779,687,167,507,535,398,758,957,1044,1255,1692,629,2680,1776,1582,11500,4194,15157,10910
South Korea,KOR,1997,3377,750,689,174,545,561,419,778,960,1087,1277,1699,668,2773,1774,1639,11704,4417,15106,11623
South Korea,KOR,1998,3490,744,699,181,590,590,444,821,980,1123,1294,1725,719,2899,1794,1709,11899,4705,15104,12368
South Korea,KOR,1999,3623,757,685,197,638,619,468,867,996,1171,1317,1744,775,3022,1806,1792,12060,5050,15099,13086
South Korea,KOR,2000,3737,774,654,219,681,649,491,901,1005,1206,1330,1746,829,3113,1802,1872,12186,5338,14935,13713
South Korea,KOR,2001,3871,792,630,239,729,681,499,932,1028,1241,1336,1775,894,3215,1806,1970,12376,5646,14858,14175
South Korea,KOR,2002,3995,807,604,265,775,715,505,972,1047,1281,1343,1805,955,3364,1811,2060,12510,6045,14738,14590
South Korea,KOR,2003,4109,823,566,287,821,745,506,1005,1052,1323,1344,1822,1026,3505,1801,2132,12616,6389,14523,14959
South Korea,KOR,2004,4231,840,538,305,868,781,512,1037,1057,1366,1332,1832,1107,3665,1799,2211,12719,6742,14302,15389
South Korea,KOR,2005,4357,864,516,323,919,813,518,1074,1064,1406,1310,1840,1193,3839,1801,2270,12824,7090,14124,15845
South Korea,KOR,2006,4471,890,491,335,965,840,524,1098,1069,1437,1287,1845,1264,3989,1791,2321,12824,7405,13871,16089
South Korea,KOR,2007,4603,919,471,349,1012,870,532,1125,1080,1475,1263,1862,1341,4148,1787,2380,12852,7711,13639,16353
South Korea,KOR,2008,4767,960,458,362,1065,903,545,1166,1094,1520,1254,1890,1432,4343,1798,2465,12963,8066,13528,16741
South Korea,KOR,2009,4938,1006,451,374,1115,936,560,1210,1118,1571,1247,1924,1523,4549,1810,2541,13098,8413,13454,17188
South Korea,KOR,2010,5128,1065,446,389,1179,964,575,1265,1137,1629,1243,1957,1627,4761,1841,2602,13265,8809,13475,17656
South Korea,KOR,2011,5262,1118,442,400,1229,983,587,1309,1149,1670,1224,1967,1718,4932,1864,2625,13412,9057,13343,18093
South Korea,KOR,2012,5426,1180,447,412,1281,1013,605,1363,1171,1723,1222,1992,1807,5141,1904,2674,13718,9355,13355,18637
South Korea,KOR,2013,5596,1240,457,420,1321,1054,626,1426,1203,1784,1237,2026,1897,5365,1960,2733,14218,9622,13418,19222
South Korea,KOR,2014,5802,1310,477,436,1378,1089,653,1503,1239,1855,1265,2081,2011,5597,2063,2789,14890,10006,13898,20026
South Korea,KOR,2015,6021,1387,499,454,1439,1126,682,1584,1279,1929,1299,2140,2125,5841,2173,2857,15580,10425,14429,20877
South Korea,KOR,2016,6259,1476,525,474,1503,1162,714,1683,1321,2009,1333,2204,2262,6102,2290,2919,16292,10893,15047,21853
Spain,ESP,1990,8238,965,2045,575,1257,1498,1263,3437,1759,1896,1159,3232,4654,3476,1824,5860,3943,8690,8276,15093
Spain,ESP,1991,8353,998,2037,612,1317,1553,1294,3538,1799,1983,1134,3287,4791,3560,1830,5943,3962,9034,8139,15541
Spain,ESP,1992,8479,1018,2027,640,1370,1602,1315,3655,1847,2078,1107,3333,4945,3650,1851,6008,3993,9357,7989,15984
Spain,ESP,1993,8627,1053,2027,666,1440,1655,1335,3770,1905,2173,1093,3390,5150,3759,1868,6150,4012,9803,7938,16491
Spain,ESP,1994,8772,1104,1998,695,1494,1703,1341,3860,1957,2280,1077,3457,5329,3856,1882,6218,4027,10167,7834,16893
Spain,ESP,1995,8909,1162,1976,711,1547,1765,1343,3933,2012,2370,1062,3519,5497,3922,1889,6267,4053,10530,7717,17270
Spain,ESP,1996,9024,1217,1958,719,1601,1812,1347,3996,2068,2457,1039,3587,5670,4011,1896,6245,4074,10900,7618,17518
Spain,ESP,1997,9207,1270,1939,738,1653,1851,1366,4114,2131,2545,1035,3644,5798,4114,1895,6281,4111,11265,7530,17783
Spain,ESP,1998,9416,1342,1903,751,1695,1899,1363,4190,2198,2624,1034,3708,5945,4215,1912,6323,4150,11723,7453,18177
Spain,ESP,1999,9604,1408,1894,759,1740,1929,1355,4287,2253,2691,1025,3700,5974,4341,1926,6319,4176,12143,7426,18485
Spain,ESP,2000,9738,1460,1854,762,1789,1952,1354,4353,2299,2727,1018,3730,5963,4472,1930,6282,4205,12407,7293,18621
Spain,ESP,2001,9888,1509,1813,758,1822,1987,1358,4466,2344,2771,1007,3758,6033,4613,1932,6311,4245,12724,7218,18927
Spain,ESP,2002,10030,1576,1782,750,1857,2012,1368,4575,2406,2793,1013,3812,6101,4751,1935,6336,4289,13077,7164,19267
Spain,ESP,2003,10211,1649,1754,757,1917,2037,1366,4684,2458,2820,1021,3880,6142,4901,1952,6401,4326,13444,7164,19717
Spain,ESP,2004,10322,1695,1708,758,1958,2050,1358,4783,2494,2824,1023,3916,6160,5034,1953,6406,4361,13683,7097,19998
Spain,ESP,2005,10507,1742,1678,757,2006,2066,1354,4864,2532,2832,1042,3944,6166,5172,1952,6450,4403,13959,7088,20382
Spain,ESP,2006,10657,1797,1639,763,2061,2083,1347,4947,2580,2842,1046,3977,6184,5334,1953,6488,4473,14157,7021,20589
Spain,ESP,2007,10868,1848,1615,764,2106,2097,1350,5037,2623,2867,1055,4002,6257,5485,1959,6531,4546,14476,7020,20932
Spain,ESP,2008,11047,1892,1594,769,2154,2107,1338,5125,2655,2896,1054,4016,6299,5635,1960,6565,4613,14702,6973,21133
Spain,ESP,2009,11213,1946,1564,773,2193,2119,1342,5203,2685,2908,1052,4031,6359,5758,1953,6610,4680,14901,6931,21308
Spain,ESP,2010,11407,2009,1539,779,2232,2132,1351,5298,2723,2913,1048,4049,6455,5912,1948,6639,4770,15104,6883,21434
Spain,ESP,2011,11671,2089,1527,790,2275,2146,1366,5401,2774,2950,1056,4094,6583,6046,1960,6725,4880,15390,6865,21488
Spain,ESP,2012,11902,2159,1516,802,2325,2161,1376,5496,2821,2991,1054,4150,6705,6171,1962,6822,4966,15682,6915,21604
Spain,ESP,2013,12003,2187,1475,818,2352,2161,1390,5521,2830,3009,1044,4139,6741,6239,1956,6825,5013,15650,6855,21336
Spain,ESP,2014,12164,2242,1453,821,2374,2173,1397,5531,2843,3036,1032,4148,6853,6325,1968,6781,5061,15662,6820,21080
Spain,ESP,2015,12368,2282,1482,838,2394,2195,1418,5651,2869,3102,1033,4217,7116,6378,2011,6852,5150,15782,6925,20944
Spain,ESP,2016,12597,2342,1501,853,2427,2225,1440,5764,2901,3166,1038,4284,7355,6466,2050,6949,5256,15984,7026,20891
Sweden,SWE,1990,2540,245,82,72,770,692,145,657,523,804,308,734,2062,1399,382,1676,648,2730,1407,3025
Sweden,SWE,1991,2572,247,82,75,770,697,152,673,519,829,303,735,2122,1391,389,1688,645,2759,1365,3023
Sweden,SWE,1992,2595,242,81,77,771,696,150,682,518,843,299,738,2158,1388,391,1684,642,2774,1319,2992
Sweden,SWE,1993,2627,239,80,79,771,704,153,692,515,852,299,734,2201,1395,394,1692,649,2782,1281,2977
Sweden,SWE,1994,2628,234,79,79,765,706,158,695,519,854,295,730,2214,1374,393,1694,644,2759,1227,2968
Sweden,SWE,1995,2639,234,78,80,763,713,155,706,526,857,293,742,2261,1368,394,1705,638,2784,1190,2986
Sweden,SWE,1996,2660,234,77,80,758,716,157,714,531,856,291,747,2302,1357,403,1707,637,2796,1170,3004
Sweden,SWE,1997,2675,226,75,79,754,716,161,725,543,853,294,756,2344,1331,410,1691,628,2803,1146,3034
Sweden,SWE,1998,2709,223,74,82,755,711,167,729,547,848,296,769,2398,1322,417,1704,614,2833,1120,3081
Sweden,SWE,1999,2741,226,75,84,749,719,169,745,554,843,304,778,2442,1318,430,1725,597,2892,1113,3157
Sweden,SWE,2000,2770,227,75,84,741,721,173,751,556,834,308,786,2463,1327,437,1735,586,2922,1089,3224
Sweden,SWE,2001,2807,228,74,85,736,718,176,759,557,828,309,795,2476,1333,447,1733,586,2969,1076,3281
Sweden,SWE,2002,2823,230,74,87,728,715,175,770,565,820,309,800,2490,1340,448,1727,584,3007,1064,3332
Sweden,SWE,2003,2838,231,75,89,725,714,179,773,571,815,308,815,2521,1350,458,1729,580,3040,1046,3401
Sweden,SWE,2004,2878,234,75,93,727,716,185,779,583,806,315,824,2531,1368,463,1766,580,3096,1037,3512
Sweden,SWE,2005,2896,230,74,94,721,707,187,786,585,791,310,830,2526,1374,461,1743,574,3109,1009,3559
Sweden,SWE,2006,2893,230,72,95,714,706,189,790,589,781,307,835,2509,1384,456,1716,570,3120,985,3557
Sweden,SWE,2007,2911,231,72,96,711,706,190,798,592,776,308,841,2501,1404,456,1709,573,3153,970,3585
Sweden,SWE,2008,2933,237,71,98,704,706,193,799,593,772,306,842,2500,1425,458,1703,582,3171,952,3622
Sweden,SWE,2009,2949,238,70,100,693,704,193,802,589,769,305,843,2501,1450,464,1669,594,3162,942,3631
Sweden,SWE,2010,2953,238,68,101,689,697,194,805,585,766,300,844,2493,1488,462,1638,606,3139,927,3636
Sweden,SWE,2011,2972,241,68,100,697,701,200,801,582,771,299,864,2519,1563,467,1635,627,3134,932,3676
Sweden,SWE,2012,3011,243,68,101,702,716,203,803,577,779,303,883,2542,1630,474,1671,653,3159,936,3724
Sweden,SWE,2013,3031,243,69,104,705,728,204,805,577,783,307,896,2557,1678,480,1682,674,3168,935,3758
Sweden,SWE,2014,3054,249,69,107,713,749,206,810,578,791,303,905,2588,1723,485,1679,691,3175,929,3780
Sweden,SWE,2015,3115,257,71,110,728,779,213,823,592,804,309,920,2650,1765,497,1715,710,3240,943,3849
Sweden,SWE,2016,3164,260,72,111,749,799,216,842,604,825,307,927,2731,1769,505,1737,722,3304,959,3888
Switzerland,CHE,1990,1614,108,121,99,286,389,243,409,273,513,190,451,1323,821,371,1680,369,859,929,2944
Switzerland,CHE,1991,1659,106,121,101,287,395,247,415,282,520,186,455,1343,825,366,1659,376,894,900,2988
Switzerland,CHE,1992,1694,105,115,101,290,403,244,416,286,525,181,453,1358,826,366,1640,379,930,866,2998
Switzerland,CHE,1993,1746,106,111,104,298,409,243,420,296,530,180,450,1370,820,369,1629,386,983,836,2994
Switzerland,CHE,1994,1804,111,109,106,304,416,240,429,306,541,174,460,1378,842,374,1623,398,1053,813,2997
Switzerland,CHE,1995,1888,124,108,112,317,428,233,444,327,553,171,474,1383,871,376,1611,422,1226,808,3057
Switzerland,CHE,1996,1937,125,104,115,319,430,230,448,334,552,165,476,1370,879,370,1551,436,1313,781,3019
Switzerland,CHE,1997,1972,130,103,118,321,438,231,445,345,554,160,482,1364,897,378,1527,448,1397,762,3040
Switzerland,CHE,1998,1993,131,102,119,321,435,231,450,353,554,155,487,1367,919,385,1486,456,1463,742,3086
Switzerland,CHE,1999,2007,131,101,121,323,433,233,449,357,556,150,497,1360,928,388,1463,463,1494,718,3101
Switzerland,CHE,2000,2033,136,104,122,323,440,234,452,364,558,148,503,1352,941,398,1474,483,1527,703,3165
Switzerland,CHE,2001,2045,138,105,124,324,440,235,453,369,561,145,512,1351,959,404,1470,497,1550,688,3190
Switzerland,CHE,2002,2078,142,104,125,330,441,238,460,373,563,144,516,1350,989,413,1482,515,1567,679,3212
Switzerland,CHE,2003,2097,151,104,127,333,448,239,464,374,566,138,518,1349,1001,418,1468,524,1583,669,3259
Switzerland,CHE,2004,2100,149,101,127,333,448,241,467,379,559,133,512,1334,1012,416,1422,532,1562,644,3233
Switzerland,CHE,2005,2123,152,98,131,337,448,245,472,383,560,128,515,1329,1031,421,1412,538,1568,634,3251
Switzerland,CHE,2006,2161,159,99,131,346,451,249,481,389,567,130,519,1330,1054,428,1435,555,1587,627,3284
Switzerland,CHE,2007,2201,163,98,132,350,450,254,489,398,569,131,521,1334,1081,436,1441,571,1603,622,3330
Switzerland,CHE,2008,2223,168,98,133,355,448,257,499,403,570,130,522,1344,1107,441,1440,580,1601,613,3362
Switzerland,CHE,2009,2260,173,98,135,359,452,260,505,411,573,131,529,1350,1148,450,1459,593,1624,616,3406
Switzerland,CHE,2010,2295,177,97,137,363,452,265,517,415,572,130,524,1352,1175,457,1472,609,1632,611,3425
Switzerland,CHE,2011,2313,181,97,137,369,453,271,523,421,575,130,523,1354,1192,460,1462,620,1635,609,3399
Switzerland,CHE,2012,2357,185,99,140,380,451,277,535,424,587,128,527,1365,1225,470,1476,642,1654,616,3420
Switzerland,CHE,2013,2382,183,98,141,385,455,279,544,428,592,127,531,1390,1239,477,1458,656,1660,622,3427
Switzerland,CHE,2014,2390,183,96,142,390,457,279,547,428,599,124,531,1420,1241,474,1427,662,1645,609,3346
Switzerland,CHE,2015,2434,187,97,145,400,464,283,558,436,613,125,539,1465,1262,481,1443,677,1673,617,3369
Switzerland,CHE,2016,2486,191,99,148,409,473,288,570,445,629,126,550,1513,1286,490,1471,692,1709,628,3407
Thailand,THA,1990,4068,641,781,360,265,756,1567,741,1200,934,2831,1473,863,1274,1132,2146,8894,3485,3025,9678
Thailand,THA,1991,4222,656,817,379,280,783,1642,780,1232,982,2887,1501,906,1337,1183,2235,9314,3680,3120,10152
Thailand,THA,1992,4392,683,856,399,296,811,1726,824,1272,1033,2969,1537,950,1404,1251,2340,9735,3912,3236,10605
Thailand,THA,1993,4520,696,868,412,310,835,1784,850,1311,1080,3022,1569,984,1459,1294,2421,10074,4075,3254,10872
Thailand,THA,1994,4657,712,881,425,324,861,1846,878,1355,1126,3085,1599,1021,1521,1345,2509,10454,4253,3280,11172
Thailand,THA,1995,4792,726,896,437,340,891,1915,912,1402,1172,3142,1626,1061,1590,1397,2603,10905,4436,3307,11516
Thailand,THA,1996,4921,737,909,447,356,924,1982,943,1453,1214,3209,1645,1099,1658,1451,2706,11298,4613,3323,11946
Thailand,THA,1997,5075,760,939,458,375,964,2069,988,1505,1253,3315,1651,1147,1737,1533,2841,11827,4821,3387,12510
Thailand,THA,1998,5265,782,974,468,397,1009,2179,1041,1565,1293,3434,1720,1213,1826,1598,2989,12522,5068,3472,12829
Thailand,THA,1999,5462,823,1008,480,418,1065,2210,1085,1637,1328,3533,1951,1289,1907,1653,3192,13123,5345,3568,13641
Thailand,THA,2000,5620,856,1033,485,437,1114,2222,1124,1695,1347,3566,2207,1361,1983,1700,3426,13779,5587,3625,14435
Thailand,THA,2001,5729,884,1036,484,451,1155,2219,1147,1745,1353,3560,2463,1431,2043,1733,3657,14402,5785,3647,14837
Thailand,THA,2002,5839,906,1034,481,465,1197,2223,1168,1802,1354,3546,2725,1495,2107,1777,3890,15134,5976,3646,15163
Thailand,THA,2003,5966,931,1045,480,482,1232,2270,1209,1851,1353,3545,2990,1573,2194,1859,4121,16019,6202,3670,15616
Thailand,THA,2004,6078,1007,1052,492,495,1283,2229,1212,1885,1337,3528,2857,1654,2240,1840,4205,16358,6531,3739,15819
Thailand,THA,2005,6210,1088,1067,505,510,1331,2197,1223,1927,1326,3543,2753,1736,2295,1830,4335,16803,6922,3830,16093
Thailand,THA,2006,6322,1136,1083,514,527,1376,2285,1240,1977,1322,3538,3025,1821,2359,1966,4512,17270,6995,3885,16584
Thailand,THA,2007,6401,1180,1095,518,544,1408,2340,1257,2019,1314,3491,3249,1900,2418,2066,4623,17699,7060,3900,16982
Thailand,THA,2008,6459,1213,1098,519,559,1438,2382,1268,2055,1307,3434,3464,1970,2476,2153,4704,18173,7073,3877,17303
Thailand,THA,2009,6529,1241,1105,523,576,1470,2422,1278,2094,1305,3408,3676,2028,2541,2240,4809,18699,7087,3861,17615
Thailand,THA,2010,6612,1265,1116,530,595,1508,2466,1286,2136,1309,3402,3876,2077,2613,2331,4929,19284,7117,3845,17927
Thailand,THA,2011,6699,1293,1130,535,616,1538,2508,1305,2182,1314,3379,4088,2135,2682,2416,5017,19835,7174,3855,18264
Thailand,THA,2012,6809,1332,1155,548,636,1562,2572,1336,2234,1339,3381,4213,2210,2768,2502,5092,20390,7336,3885,18723
Thailand,THA,2013,6973,1391,1186,575,660,1596,2659,1374,2292,1385,3403,4297,2303,2875,2586,5183,20962,7578,3950,19265
Thailand,THA,2014,7135,1448,1218,590,689,1629,2737,1417,2360,1407,3433,4366,2389,2989,2659,5274,21500,7782,4032,19753
Thailand,THA,2015,7324,1478,1258,601,718,1670,2841,1476,2427,1445,3457,4416,2483,3106,2721,5334,22270,8076,4110,20418
Thailand,THA,2016,7514,1516,1299,612,746,1711,2945,1542,2490,1483,3470,4471,2597,3226,2774,5380,22929,8371,4188,21120
United Kingdom,GBR,1990,14304,1057,960,662,2812,4815,1244,5631,2970,4197,2678,6172,9080,7624,5808,15996,1737,19824,11857,40447
United Kingdom,GBR,1991,14447,1061,968,676,2860,4824,1257,5673,2994,4322,2602,6248,9374,7654,5976,16022,1819,19833,11653,40187
United Kingdom,GBR,1992,14563,1067,977,677,2909,4853,1279,5714,3051,4463,2509,6321,9613,7704,6158,15992,1903,19838,11449,39859
United Kingdom,GBR,1993,14686,1078,983,688,2982,4892,1291,5706,3087,4629,2383,6457,9824,7765,6389,15998,1995,19816,11278,39692
United Kingdom,GBR,1994,14727,1080,973,699,3041,4925,1312,5681,3114,4731,2272,6507,9958,7774,6524,15798,2076,19561,11011,39054
United Kingdom,GBR,1995,14878,1095,968,701,3109,4942,1309,5678,3142,4836,2201,6579,10142,7806,6672,15650,2154,19441,10819,38596
United Kingdom,GBR,1996,14988,1116,959,710,3144,4980,1313,5618,3181,4924,2142,6650,10220,7856,6799,15424,2240,19233,10582,38082
United Kingdom,GBR,1997,15073,1147,946,719,3200,4987,1320,5552,3228,4988,2073,6706,10233,7889,6908,15230,2333,19001,10359,37565
United Kingdom,GBR,1998,15271,1183,935,718,3263,5005,1326,5475,3267,5039,2008,6726,10265,7937,7022,15059,2403,18783,10143,37240
United Kingdom,GBR,1999,15423,1229,925,715,3309,5015,1332,5406,3307,5062,1959,6713,10302,8016,7130,14924,2477,18608,9883,36905
United Kingdom,GBR,2000,15580,1284,908,709,3348,5012,1337,5379,3348,5056,1913,6648,10353,8111,7187,14670,2571,18364,9594,36496
United Kingdom,GBR,2001,15909,1360,902,726,3415,5056,1348,5390,3394,5069,1914,6621,10534,8215,7323,14620,2664,18361,9417,36291
United Kingdom,GBR,2002,16172,1439,896,734,3491,5052,1360,5384,3428,5079,1893,6641,10652,8342,7464,14502,2787,18392,9277,36388
United Kingdom,GBR,2003,16402,1512,884,738,3560,5006,1366,5373,3469,5062,1869,6630,10733,8465,7572,14310,2909,18380,9095,36503
United Kingdom,GBR,2004,16547,1565,866,748,3633,4943,1387,5347,3509,5024,1824,6572,10778,8568,7613,14030,3042,18259,8850,36441
United Kingdom,GBR,2005,16726,1642,855,760,3695,4888,1401,5357,3545,5019,1784,6530,10860,8710,7687,13854,3191,18207,8642,36562
United Kingdom,GBR,2006,16913,1699,845,772,3759,4826,1424,5368,3591,5017,1739,6523,10915,8824,7713,13643,3343,18086,8390,36368
United Kingdom,GBR,2007,17150,1764,834,794,3812,4778,1449,5390,3637,5029,1711,6522,11009,8983,7757,13451,3499,18061,8245,36389
United Kingdom,GBR,2008,17373,1836,838,810,3875,4755,1474,5416,3693,5038,1686,6520,11101,9120,7829,13323,3660,18070,8101,36474
United Kingdom,GBR,2009,17604,1898,829,839,3937,4738,1509,5444,3750,5063,1657,6537,11236,9270,7874,13125,3827,17991,7947,36439
United Kingdom,GBR,2010,17984,1982,832,863,4044,4741,1547,5511,3816,5123,1646,6590,11504,9442,7972,13102,4011,18133,7896,36667
